ranking_date,rank,player,points,tours
20160502,952,214981,10,3
20160509,33,214082,1451,21
20160509,155,202468,368,25
20160509,190,206252,287,24
20160509,256,214544,180,13
20160509,459,211148,68,11
20160509,956,214981,10,3
20160516,32,214082,1538,
20160516,154,202468,368,
20160516,192,206252,287,
20160516,261,214544,180,
20160516,465,211148,67,
20160516,958,214981,10,
20160523,32,214082,1538,22
20160523,154,202468,368,25
20160523,179,206252,304,26
20160523,250,214544,195,14
20160523,464,211148,67,10
20160523,959,214981,10,3
20160530,32,214082,1538,
20160530,154,202468,368,
20160530,179,206252,304,
20160530,250,214544,195,
20160530,464,211148,67,
20160530,959,214981,10,
20160606,31,214082,1618,21
20160606,163,202468,340,25
20160606,190,206252,285,24
20160606,194,214544,275,15
20160606,483,211148,59,9
20160606,964,214981,10,3
20160613,31,214082,1618,
20160613,173,202468,323,
20160613,189,206252,285,
20160613,196,214544,275,
20160613,482,211148,59,
20160613,961,214981,10,
20160620,31,214082,1586,20
20160620,171,202468,323,24
20160620,187,206252,285,24
20160620,205,214544,267,15
20160620,481,211148,60,10
20160620,959,214981,10,3
20160627,33,214082,1549,20
20160627,170,202468,323,24
20160627,188,206252,285,24
20160627,189,214544,284,15
20160627,490,211148,60,10
20160627,960,214981,10,3
20160704,33,214082,1549,
20160704,170,202468,323,
20160704,188,206252,285,
20160704,189,214544,284,
20160704,490,211148,60,
20160704,960,214981,10,
20160711,29,214082,1666,
20160711,177,202468,313,
20160711,181,214544,304,
20160711,200,206252,271,
20160711,436,211148,74,
20160711,671,214981,29,
20160718,29,214082,1661,
20160718,173,202468,313,
20160718,180,214544,303,
20160718,254,206252,192,
20160718,432,211148,75,
20160718,673,214981,29,
20160725,33,214082,1596,
20160725,135,202468,422,
20160725,180,214544,303,
20160725,252,206252,192,
20160725,395,211148,93,
20160725,672,214981,29,
20160801,27,214082,1773,
20160801,138,202468,415,
20160801,178,214544,304,
20160801,253,206252,192,
20160801,388,211148,93,
20160801,674,214981,29,
20160808,27,214082,1773,
20160808,142,202468,415,
20160808,180,214544,304,
20160808,256,206252,192,
20160808,391,211148,93,
20160808,676,214981,29,
20160815,24,214082,1773,19
20160815,140,202468,415,24
20160815,179,214544,304,16
20160815,266,206252,171,23
20160815,321,211148,124,15
20160815,679,214981,29,4
20160822,24,214082,1773,
20160822,139,202468,415,
20160822,178,214544,304,
20160822,267,206252,171,
20160822,300,211148,133,
20160822,641,214981,33,
20160829,24,214082,1773,
20160829,138,202468,415,
20160829,178,214544,304,
20160829,267,206252,171,
20160829,303,211148,133,
20160829,612,214981,37,
20160905,24,214082,1773,
20160905,138,202468,415,
20160905,178,214544,304,
20160905,267,206252,171,
20160905,303,211148,133,
20160905,612,214981,37,
20160912,25,214082,1653,
20160912,161,202468,345,
20160912,173,214544,323,
20160912,265,206252,174,
20160912,280,211148,158,
20160912,614,214981,37,
20160919,29,214082,1563,19
20160919,159,202468,357,25
20160919,177,214544,323,17
20160919,254,206252,191,23
20160919,269,211148,176,19
20160919,618,214981,37,6
20160926,28,214082,1563,19
20160926,154,214544,372,18
20160926,161,202468,357,26
20160926,255,206252,191,23
20160926,281,211148,165,17
20160926,615,214981,37,6
20161003,24,214082,1688,
20161003,155,214544,372,
20161003,162,202468,357,
20161003,258,206252,185,
20161003,286,211148,163,
20161003,614,214981,37,
20161010,24,214082,1740,21
20161010,157,214544,361,17
20161010,165,202468,343,25
20161010,250,211148,192,17
20161010,257,206252,185,22
20161010,615,214981,37,6
20161017,24,214082,1740,
20161017,164,214544,350,
20161017,167,202468,343,
20161017,244,211148,200,
20161017,255,206252,185,
20161017,615,214981,37,
20161024,26,214082,1630,
20161024,160,214544,350,
20161024,171,202468,336,
20161024,247,211148,200,
20161024,251,206252,189,
20161024,618,214981,36,
20161031,26,214082,1630,21
20161031,161,214544,350,17
20161031,167,202468,336,24
20161031,245,211148,200,19
20161031,249,206252,189,22
20161031,621,214981,36,5
20161107,27,214082,1630,21
20161107,159,214544,350,17
20161107,165,202468,336,24
20161107,245,211148,200,19
20161107,251,206252,189,22
20161107,616,214981,36,5
20161107,903,216347,12,1
20161114,27,214082,1630,21
20161114,155,214544,362,18
20161114,165,202468,336,24
20161114,245,211148,203,21
20161114,250,206252,189,21
20161114,614,214981,36,5
20161114,858,216347,14,2
20161121,26,214082,1630,21
20161121,135,214544,444,18
20161121,168,202468,336,24
20161121,251,206252,189,21
20161121,258,211148,186,21
20161121,609,214981,37,6
20161121,855,216347,14,2
20161128,26,214082,1630,21
20161128,135,214544,444,18
20161128,166,202468,336,24
20161128,251,206252,189,21
20161128,256,211148,186,21
20161128,606,214981,37,6
20161128,845,216347,15,3
20161205,26,214082,1630,21
20161205,135,214544,444,18
20161205,165,202468,336,24
20161205,214,211148,245,22
20161205,254,206252,189,21
20161205,609,214981,37,6
20161205,841,216347,15,3
20161212,26,214082,1630,21
20161212,135,214544,444,18
20161212,166,202468,336,24
20161212,215,211148,245,22
20161212,253,206252,189,21
20161212,612,214981,37,6
20161212,845,216347,15,3
20161219,26,214082,1630,
20161219,136,214544,444,
20161219,166,202468,336,
20161219,216,211148,245,
20161219,251,206252,189,
20161219,612,214981,37,
20161219,850,216347,15,
