ranking_date,rank,player,points
20130527,1,104925,12310
20130527,28,105777,1355
20130527,814,100644,17
20130610,1,104925,11830
20130610,28,105777,1400
20130610,814,100644,17
20130617,1,104925,11830
20130617,31,105777,1330
20130617,818,100644,17
20130624,1,104925,11830
20130624,31,105777,1330
20130624,783,100644,20
20130708,1,104925,12310
20130708,29,105777,1330
20130708,793,100644,20
20130715,1,104925,12310
20130715,30,105777,1330
20130715,798,100644,20
20130715,1446,126094,2
20130722,1,104925,12310
20130722,31,105777,1260
20130722,789,100644,20
20130722,1249,126094,4
20130729,1,104925,12310
20130729,32,105777,1260
20130729,795,100644,20
20130729,1244,126094,4
20130805,1,104925,12040
20130805,31,105777,1315
20130805,799,100644,20
20130805,1248,126094,4
20130812,1,104925,11400
20130812,29,105777,1305
20130812,800,100644,20
20130812,1246,126094,4
20130819,1,104925,10980
20130819,28,105777,1375
20130819,810,100644,20
20130819,1247,126094,4
20130826,1,104925,10980
20130826,29,105777,1375
20130826,830,126094,19
20130826,833,100644,19
20130909,1,104925,10980
20130909,29,105777,1375
20130909,810,126094,20
20130909,846,100644,18
20130916,1,104925,11120
20130916,29,105777,1375
20130916,804,126094,20
20130916,837,100644,18
20130923,1,104925,11120
20130923,29,105777,1375
20130923,751,100644,24
20130923,806,126094,20
20130930,1,104925,11120
20130930,29,105777,1375
20130930,747,100644,24
20130930,808,126094,20
20131007,2,104925,11120
20131007,28,105777,1375
20131007,745,100644,24
20131007,808,126094,20
20131014,2,104925,11120
20131014,28,105777,1340
20131014,759,100644,23
20131014,810,126094,20
20131021,2,104925,11120
20131021,22,105777,1500
20131021,750,100644,24
20131021,814,126094,20
20131028,2,104925,11120
20131028,22,105777,1500
20131028,766,100644,23
20131028,819,126094,20
20131104,2,104925,10610
20131104,23,105777,1520
20131104,708,100644,29
20131104,811,126094,20
20131111,2,104925,12110
20131111,23,105777,1520
20131111,694,100644,31
20131111,807,126094,20
20131118,2,104925,12260
20131118,23,105777,1520
20131118,699,100644,31
20131118,808,126094,20
20131125,2,104925,12260
20131125,23,105777,1520
20131125,643,126094,38
20131125,807,100644,21
20131202,2,104925,12260
20131202,23,105777,1520
20131202,645,126094,38
20131202,808,100644,21
20131209,2,104925,12260
20131209,23,105777,1520
20131209,648,126094,38
20131209,808,100644,21
20131216,2,104925,12260
20131216,23,105777,1520
20131216,648,126094,38
20131216,808,100644,21
20131223,2,104925,12260
20131223,23,105777,1520
20131223,649,126094,38
20131223,807,100644,21
20131230,2,104925,12260
20131230,23,105777,1520
20131230,651,126094,38
20131230,809,100644,21
20140106,2,104925,12260
20140106,23,105777,1460
20140106,652,126094,38
20140106,808,100644,21
20140113,2,104925,12260
20140113,22,105777,1460
20140113,651,126094,38
20140113,807,100644,21
20140127,2,104925,10620
20140127,19,105777,1810
20140127,647,126094,38
20140127,805,100644,21
20140203,2,104925,10580
20140203,19,105777,1810
20140203,646,126094,38
20140203,807,100644,21
20140210,2,104925,10580
20140210,19,105777,1810
20140210,645,126094,38
20140210,810,100644,21
20140210,1799,126203,1
20140217,2,104925,10580
20140217,20,105777,1675
20140217,647,126094,38
20140217,809,100644,21
20140217,1803,126203,1
20140224,2,104925,10580
20140224,22,105777,1675
20140224,651,126094,38
20140224,809,100644,21
20140224,1805,126203,1
20140303,2,104925,10260
20140303,16,105777,2130
20140303,652,126094,38
20140303,811,100644,21
20140303,1809,126203,1
20140317,2,104925,10900
20140317,16,105777,2130
20140317,528,126094,62
20140317,818,100644,20
20140317,1818,126203,1
20140331,2,104925,11810
20140331,15,105777,2130
20140331,530,126094,62
20140331,824,100644,20
20140331,1228,126203,5
20140407,2,104925,11680
20140407,15,105777,2130
20140407,534,126094,62
20140407,822,100644,20
20140407,1227,126203,5
20140414,2,104925,11680
20140414,14,105777,2130
20140414,535,126094,62
20140414,827,100644,20
20140414,1227,126203,5
20140421,2,104925,11040
20140421,16,105777,2040
20140421,533,126094,62
20140421,766,100644,25
20140421,1229,126203,5
20140428,2,104925,11040
20140428,14,105777,2200
20140428,537,126094,62
20140428,765,100644,25
20140428,1230,126203,5
20140505,2,104925,11040
20140505,14,105777,2200
20140505,535,126094,62
20140505,774,100644,25
20140505,1233,126203,5
20140512,2,104925,11030
20140512,14,105777,2200
20140512,530,126094,62
20140512,774,100644,25
20140512,1233,126203,5
20140519,2,104925,11850
20140519,12,105777,2515
20140519,530,126094,62
20140519,716,100644,31
20140519,1235,126203,5
20140526,2,104925,11850
20140526,12,105777,2515
20140526,538,126094,62
20140526,672,100644,36
20140526,1238,126203,5
20140609,2,104925,12330
20140609,13,105777,2435
20140609,443,126094,89
20140609,675,100644,36
20140609,1238,126203,5
20140616,2,104925,12330
20140616,13,105777,2595
20140616,444,126094,89
20140616,642,100644,41
20140616,1246,126203,5
20140623,2,104925,12330
20140623,13,105777,2595
20140623,445,126094,89
20140623,665,100644,38
20140623,1250,126203,5
20140707,1,104925,13130
20140707,9,105777,3270
20140707,285,100644,163
20140707,447,126094,89
20140707,1258,126203,5
20140714,1,104925,13130
20140714,9,105777,3270
20140714,285,100644,163
20140714,454,126094,87
20140714,1260,126203,5
20140721,1,104925,13130
20140721,9,105777,3270
20140721,161,100644,343
20140721,462,126094,85
20140721,1263,126203,5
20140728,1,104925,13130
20140728,9,105777,3270
20140728,159,100644,343
20140728,460,126094,85
20140728,1267,126203,5
20140728,1751,106421,1
20140804,1,104925,13130
20140804,8,105777,3270
20140804,159,100644,343
20140804,461,126094,85
20140804,1267,126203,5
20140804,1753,106421,1
20140811,1,104925,12860
20140811,8,105777,3620
20140811,157,100644,343
20140811,456,126094,85
20140811,1138,106421,7
20140811,1271,126203,5
20140818,1,104925,12770
20140818,8,105777,3540
20140818,157,100644,343
20140818,445,126094,88
20140818,780,106421,25
20140818,1267,126203,5
20140825,1,104925,12770
20140825,8,105777,3540
20140825,157,100644,343
20140825,487,126094,73
20140825,725,106421,31
20140825,1264,126203,5
20140908,1,104925,12290
20140908,10,105777,3710
20140908,150,100644,366
20140908,495,126094,72
20140908,690,106421,34
20140908,1271,126203,5
20140915,1,104925,12150
20140915,10,105777,3710
20140915,150,100644,374
20140915,493,126094,72
20140915,691,106421,34
20140915,1273,126203,5
20140922,1,104925,12150
20140922,10,105777,3710
20140922,149,100644,368
20140922,498,126094,72
20140922,653,106421,38
20140922,1273,126203,5
20140929,1,104925,12150
20140929,10,105777,3710
20140929,149,100644,368
20140929,498,126094,72
20140929,651,106421,38
20140929,1273,126203,5
20141006,1,104925,12150
20141006,10,105777,3710
20141006,143,100644,393
20141006,496,126094,72
20141006,655,106421,38
20141006,1138,126203,7
20141013,1,104925,11510
20141013,10,105777,3745
20141013,136,100644,393
20141013,495,126094,72
20141013,649,106421,38
20141013,1134,126203,7
20141020,1,104925,11510
20141020,11,105777,3645
20141020,135,100644,398
20141020,495,126094,72
20141020,642,106421,38
20141020,1135,126203,7
20141027,1,104925,11510
20141027,11,105777,3645
20141027,137,100644,397
20141027,491,126094,72
20141027,646,106421,38
20141027,1134,126203,7
20141103,1,104925,10010
20141103,11,105777,3645
20141103,136,100644,391
20141103,491,126094,73
20141103,648,106421,38
20141103,1128,126203,7
20141110,1,104925,10010
20141110,11,105777,3645
20141110,137,100644,389
20141110,455,126094,83
20141110,647,106421,39
20141110,1127,126203,7
20141117,1,104925,11510
20141117,11,105777,3645
20141117,139,100644,389
20141117,452,126094,83
20141117,645,106421,39
20141117,1132,126203,7
20141124,1,104925,11360
20141124,11,105777,3645
20141124,137,100644,389
20141124,517,126094,65
20141124,643,106421,39
20141124,1141,126203,7
20141201,1,104925,11360
20141201,11,105777,3645
20141201,137,100644,389
20141201,516,126094,65
20141201,643,106421,39
20141201,1147,126203,7
20141208,1,104925,11360
20141208,11,105777,3645
20141208,137,100644,389
20141208,510,126094,65
20141208,646,106421,39
20141208,1144,126203,7
20141215,1,104925,11360
20141215,11,105777,3645
20141215,137,100644,389
20141215,511,126094,65
20141215,651,106421,39
20141215,1143,126203,7
20141222,1,104925,11360
20141222,11,105777,3645
20141222,136,100644,389
20141222,514,126094,65
20141222,654,106421,39
20141222,1145,126203,7
